年月,船型,价格,单位价格
2023-02-01,阿芙拉型,63.0,572.7272727272727
2023-02-01,苏伊士型,80.5,503.125
2023-02-01,VLCC,120.0,400.0
2023-02-01,灵便型,44.5,1390.625
2023-02-01,巴拿马型,54.5,726.6666666666666
2023-03-01,巴拿马型,54.5,726.6666666666666
2023-03-01,灵便型,45.0,1406.25
2023-03-01,VLCC,120.0,400.0
2023-03-01,阿芙拉型,64.0,581.8181818181819
2023-03-01,苏伊士型,80.5,503.125
2023-04-01,阿芙拉型,66.0,600.0
2023-04-01,苏伊士型,82.0,512.5
2023-04-01,VLCC,122.0,406.6666666666667
2023-04-01,灵便型,45.5,1421.875
2023-04-01,巴拿马型,55.5,740.0
2023-05-01,巴拿马型,57.0,760.0
2023-05-01,灵便型,46.25,1445.3125
2023-05-01,VLCC,126.0,420.0
2023-05-01,阿芙拉型,67.5,613.6363636363636
2023-05-01,苏伊士型,85.0,531.25
2023-06-01,阿芙拉型,67.5,613.6363636363636
2023-06-01,苏伊士型,85.0,531.25
2023-06-01,VLCC,126.0,420.0
2023-06-01,灵便型,46.75,1460.9375
2023-06-01,巴拿马型,57.0,760.0
2023-07-01,巴拿马型,57.0,760.0
2023-07-01,灵便型,47.0,1468.75
2023-07-01,阿芙拉型,68.0,618.1818181818181
2023-07-01,苏伊士型,85.0,531.25
2023-07-01,VLCC,126.0,420.0
2023-08-01,阿芙拉型,68.0,618.1818181818181
2023-08-01,苏伊士型,85.0,531.25
2023-08-01,VLCC,126.0,420.0
2023-08-01,灵便型,47.0,1468.75
2023-08-01,巴拿马型,57.0,760.0
2023-09-01,巴拿马型,57.0,760.0
2023-09-01,灵便型,47.0,1468.75
2023-09-01,VLCC,128.0,426.6666666666667
2023-09-01,阿芙拉型,68.5,622.7272727272727
2023-09-01,苏伊士型,85.0,531.25
2023-10-01,阿芙拉型,68.5,622.7272727272727
2023-10-01,苏伊士型,85.0,531.25
2023-10-01,VLCC,128.0,426.6666666666667
2023-10-01,灵便型,47.0,1468.75
2023-10-01,巴拿马型,57.0,760.0
2023-11-01,巴拿马型,57.5,766.6666666666666
2023-11-01,灵便型,47.5,1484.375
2023-11-01,阿芙拉型,70.0,636.3636363636364
2023-11-01,苏伊士型,85.0,531.25
2023-11-01,VLCC,128.0,426.6666666666667
2023-12-01,阿芙拉型,70.0,636.3636363636364
2023-12-01,苏伊士型,85.0,531.25
2023-12-01,VLCC,128.0,426.6666666666667
2023-12-01,灵便型,47.5,1484.375
2023-12-01,巴拿马型,57.5,766.6666666666666
2024-01-01,巴拿马型,58.0,773.3333333333334
2024-01-01,灵便型,48.0,1500.0
2024-01-01,苏伊士型,85.0,531.25
2024-01-01,阿芙拉型,70.5,640.9090909090909
2024-01-01,VLCC,128.0,426.6666666666667
2024-02-01,阿芙拉型,71.0,645.4545454545455
2024-02-01,苏伊士型,85.5,534.375
2024-02-01,VLCC,128.0,426.6666666666667
2024-02-01,灵便型,48.5,1515.625
2024-02-01,巴拿马型,58.5,780.0
2024-03-01,巴拿马型,60.0,800.0
2024-03-01,灵便型,49.5,1546.875
2024-03-01,阿芙拉型,72.0,654.5454545454545
2024-03-01,苏伊士型,87.5,546.875
2024-03-01,VLCC,130.0,433.3333333333333
2024-04-01,VLCC,130.5,435.0
2024-04-01,苏伊士型,88.0,550.0
2024-04-01,阿芙拉型,72.0,654.5454545454545
2024-04-01,巴拿马型,60.25,803.3333333333334
2024-04-01,灵便型,50.0,1562.5
2024-05-01,VLCC,130.0,433.3333333333333
2024-05-01,苏伊士型,88.5,553.125
2024-05-01,阿芙拉型,73.0,663.6363636363636
2024-05-01,巴拿马型,61.0,813.3333333333334
2024-05-01,灵便型,51.5,1609.375
2024-06-01,巴拿马型,62.0,826.6666666666666
2024-06-01,灵便型,52.0,1625.0
2024-06-01,苏伊士型,89.5,559.375
2024-06-01,阿芙拉型,75.0,681.8181818181819
2024-06-01,VLCC,130.0,433.3333333333333
2024-07-01,VLCC,129.0,430.0
2024-07-01,苏伊士型,90.0,562.5
2024-07-01,阿芙拉型,75.0,681.8181818181819
2024-07-01,巴拿马型,62.0,826.6666666666666
2024-07-01,灵便型,52.0,1625.0
2024-08-01,灵便型,52.0,1625.0
2024-08-01,巴拿马型,62.0,826.6666666666666
2024-08-01,苏伊士型,90.0,562.5
2024-08-01,VLCC,129.0,430.0
2024-08-01,阿芙拉型,75.0,681.8181818181819
2024-09-01,VLCC,129.0,430.0
2024-09-01,苏伊士型,90.0,562.5
2024-09-01,阿芙拉型,75.0,681.8181818181819
2024-09-01,巴拿马型,62.0,826.6666666666666
2024-09-01,灵便型,52.0,1625.0
2024-10-01,灵便型,52.0,1625.0
2024-10-01,巴拿马型,62.0,826.6666666666666
2024-10-01,阿芙拉型,75.0,681.8181818181819
2024-10-01,VLCC,129.0,430.0
2024-10-01,苏伊士型,90.0,562.5
2024-11-01,VLCC,129.0,430.0
2024-11-01,苏伊士型,90.0,562.5
2024-11-01,阿芙拉型,75.0,681.8181818181819
2024-11-01,巴拿马型,62.0,826.6666666666666
2024-11-01,灵便型,52.0,1625.0
2024-12-01,VLCC,129.0,430.0
2024-12-01,苏伊士型,90.0,562.5
2024-12-01,巴拿马型,62.0,826.6666666666666
2024-12-01,灵便型,52.0,1625.0
2024-12-01,阿芙拉型,75.0,681.8181818181819
2025-01-01,灵便型,52.0,1625.0
2025-01-01,巴拿马型,62.0,826.6666666666666
2025-01-01,阿芙拉型,75.0,681.8181818181819
2025-01-01,苏伊士型,90.0,562.5
2025-01-01,VLCC,128.0,426.6666666666667
2025-02-01,灵便型,52.0,1625.0
2025-02-01,巴拿马型,61.5,820.0
2025-02-01,苏伊士型,88.0,550.0
2025-02-01,VLCC,126.0,420.0
2025-02-01,阿芙拉型,74.5,677.2727272727273
2025-03-01,苏伊士型,87.5,546.875
2025-03-01,阿芙拉型,73.0,663.6363636363636
2025-03-01,巴拿马型,59.5,793.3333333333334
2025-03-01,灵便型,49.5,1546.875
2025-03-01,VLCC,125.0,416.6666666666667
2025-04-01,阿芙拉型,72.5,659.0909090909091
2025-04-01,灵便型,49.0,1531.25
2025-04-01,VLCC,125.0,416.6666666666667
2025-04-01,苏伊士型,86.5,540.625
2025-04-01,巴拿马型,59.0,786.6666666666666
2025-05-01,VLCC,125.0,416.6666666666667
2025-05-01,苏伊士型,86.0,537.5
2025-05-01,阿芙拉型,72.5,659.0909090909091
2025-05-01,巴拿马型,59.0,786.6666666666666
2025-05-01,灵便型,48.5,1515.625
2025-06-01,巴拿马型,59.0,786.6666666666666
2025-06-01,灵便型,48.5,1515.625
2025-06-01,阿芙拉型,72.0,654.5454545454545
2025-06-01,VLCC,126.0,420.0
2025-06-01,苏伊士型,86.5,540.625
2025-07-01,VLCC,126.0,420.0
2025-07-01,苏伊士型,86.0,537.5
2025-07-01,阿芙拉型,72.0,654.5454545454545
2025-07-01,巴拿马型,59.0,786.6666666666666
2025-07-01,灵便型,49.0,1531.25
2025-08-01,灵便型,48.75,1523.4375
2025-08-01,巴拿马型,59.0,786.6666666666666
2025-08-01,阿芙拉型,72.0,654.5454545454545
2025-08-01,VLCC,126.0,420.0
2025-08-01,苏伊士型,86.0,537.5
