年月,船型,船龄,折旧率
2018-12-01,巴拿马型,5,0.3182
2018-12-01,巴拿马型,10,0.6023
2018-12-01,巴拿马型,15,0.7614
2018-12-01,VLCC,5,0.2865
2018-12-01,VLCC,10,0.5351
2018-12-01,VLCC,15,0.6757
2018-12-01,阿芙拉型,5,0.3125
2018-12-01,阿芙拉型,10,0.5625
2018-12-01,阿芙拉型,15,0.7396
2018-12-01,苏伊士型,5,0.2397
2018-12-01,苏伊士型,10,0.4711
2018-12-01,苏伊士型,15,0.7190
2019-01-01,阿芙拉型,5,0.2784
2019-01-01,阿芙拉型,10,0.5258
2019-01-01,阿芙拉型,15,0.7113
2019-01-01,苏伊士型,5,0.2195
2019-01-01,苏伊士型,10,0.4472
2019-01-01,苏伊士型,15,0.7073
2019-01-01,VLCC,5,0.2473
2019-01-01,VLCC,10,0.4946
2019-01-01,VLCC,15,0.6505
2019-01-01,巴拿马型,5,0.2697
2019-01-01,巴拿马型,10,0.5618
2019-01-01,巴拿马型,15,0.7528
2019-02-01,巴拿马型,5,0.2697
2019-02-01,巴拿马型,10,0.5618
2019-02-01,巴拿马型,15,0.7528
2019-02-01,阿芙拉型,5,0.2784
2019-02-01,阿芙拉型,10,0.5258
2019-02-01,阿芙拉型,15,0.7113
2019-02-01,苏伊士型,5,0.1870
2019-02-01,苏伊士型,10,0.4146
2019-02-01,苏伊士型,15,0.6748
2019-02-01,VLCC,5,0.2581
2019-02-01,VLCC,10,0.5054
2019-02-01,VLCC,15,0.6774
2019-03-01,阿芙拉型,5,0.2784
2019-03-01,阿芙拉型,10,0.5258
2019-03-01,阿芙拉型,15,0.7113
2019-03-01,苏伊士型,5,0.1870
2019-03-01,苏伊士型,10,0.4309
2019-03-01,苏伊士型,15,0.6748
2019-03-01,VLCC,5,0.2581
2019-03-01,VLCC,10,0.5054
2019-03-01,VLCC,15,0.6667
2019-03-01,巴拿马型,5,0.3258
2019-03-01,巴拿马型,10,0.6067
2019-03-01,巴拿马型,15,0.7753
2019-04-01,巴拿马型,5,0.3258
2019-04-01,巴拿马型,10,0.6067
2019-04-01,巴拿马型,15,0.7753
2019-04-01,VLCC,5,0.2688
2019-04-01,VLCC,10,0.5161
2019-04-01,VLCC,15,0.6774
2019-04-01,阿芙拉型,5,0.2784
2019-04-01,阿芙拉型,10,0.5258
2019-04-01,阿芙拉型,15,0.7113
2019-04-01,苏伊士型,5,0.2033
2019-04-01,苏伊士型,10,0.4959
2019-04-01,苏伊士型,15,0.7236
2019-05-01,阿芙拉型,5,0.2371
2019-05-01,阿芙拉型,10,0.5052
2019-05-01,阿芙拉型,15,0.6907
2019-05-01,苏伊士型,5,0.2033
2019-05-01,苏伊士型,10,0.4797
2019-05-01,苏伊士型,15,0.7073
2019-05-01,VLCC,5,0.2366
2019-05-01,VLCC,10,0.4892
2019-05-01,VLCC,15,0.6667
2019-05-01,巴拿马型,5,0.3258
2019-05-01,巴拿马型,10,0.6067
2019-05-01,巴拿马型,15,0.7753
2019-06-01,巴拿马型,5,0.3034
2019-06-01,巴拿马型,10,0.5843
2019-06-01,巴拿马型,15,0.7528
2019-06-01,阿芙拉型,5,0.2165
2019-06-01,阿芙拉型,10,0.4845
2019-06-01,阿芙拉型,15,0.6907
2019-06-01,苏伊士型,5,0.2033
2019-06-01,苏伊士型,10,0.4797
2019-06-01,苏伊士型,15,0.7073
2019-06-01,VLCC,5,0.2366
2019-06-01,VLCC,10,0.4892
2019-06-01,VLCC,15,0.6559
2019-07-01,阿芙拉型,5,0.2165
2019-07-01,阿芙拉型,10,0.4845
2019-07-01,阿芙拉型,15,0.6907
2019-07-01,苏伊士型,5,0.1870
2019-07-01,苏伊士型,10,0.4146
2019-07-01,苏伊士型,15,0.6748
2019-07-01,VLCC,5,0.2324
2019-07-01,VLCC,10,0.4865
2019-07-01,VLCC,15,0.6541
2019-07-01,巴拿马型,5,0.3034
2019-07-01,巴拿马型,10,0.5843
2019-07-01,巴拿马型,15,0.7528
2019-08-01,巴拿马型,5,0.3034
2019-08-01,巴拿马型,10,0.5843
2019-08-01,巴拿马型,15,0.7528
2019-08-01,VLCC,5,0.2324
2019-08-01,VLCC,10,0.5027
2019-08-01,VLCC,15,0.6486
2019-08-01,阿芙拉型,5,0.2165
2019-08-01,阿芙拉型,10,0.5052
2019-08-01,阿芙拉型,15,0.7010
2019-08-01,苏伊士型,5,0.1870
2019-08-01,苏伊士型,10,0.4472
2019-08-01,苏伊士型,15,0.6911
2019-09-01,阿芙拉型,5,0.2165
2019-09-01,阿芙拉型,10,0.5155
2019-09-01,阿芙拉型,15,0.7113
2019-09-01,苏伊士型,5,0.1870
2019-09-01,苏伊士型,10,0.4472
2019-09-01,苏伊士型,15,0.6911
2019-09-01,VLCC,5,0.2324
2019-09-01,VLCC,10,0.5027
2019-09-01,VLCC,15,0.6486
2019-09-01,巴拿马型,5,0.3034
2019-09-01,巴拿马型,10,0.5843
2019-09-01,巴拿马型,15,0.7528
2019-10-01,巴拿马型,5,0.2697
2019-10-01,巴拿马型,10,0.5506
2019-10-01,巴拿马型,15,0.7528
2019-10-01,阿芙拉型,5,0.1546
2019-10-01,阿芙拉型,10,0.4330
2019-10-01,阿芙拉型,15,0.6907
2019-10-01,苏伊士型,5,0.1382
2019-10-01,苏伊士型,10,0.4146
2019-10-01,苏伊士型,15,0.6423
2019-10-01,VLCC,5,0.1848
2019-10-01,VLCC,10,0.4348
2019-10-01,VLCC,15,0.5870
2019-11-01,阿芙拉型,5,0.1546
2019-11-01,阿芙拉型,10,0.3814
2019-11-01,阿芙拉型,15,0.6289
2019-11-01,苏伊士型,5,0.1382
2019-11-01,苏伊士型,10,0.4146
2019-11-01,苏伊士型,15,0.6423
2019-11-01,VLCC,5,0.1848
2019-11-01,VLCC,10,0.4239
2019-11-01,VLCC,15,0.5870
2019-11-01,巴拿马型,5,0.2697
2019-11-01,巴拿马型,10,0.5506
2019-11-01,巴拿马型,15,0.7079
2019-12-01,巴拿马型,5,0.2697
2019-12-01,巴拿马型,10,0.5506
2019-12-01,巴拿马型,15,0.7079
2019-12-01,苏伊士型,5,0.1382
2019-12-01,苏伊士型,10,0.4146
2019-12-01,苏伊士型,15,0.6423
2019-12-01,阿芙拉型,5,0.1546
2019-12-01,阿芙拉型,10,0.3814
2019-12-01,阿芙拉型,15,0.6289
2019-12-01,VLCC,5,0.1848
2019-12-01,VLCC,10,0.4239
2019-12-01,VLCC,15,0.5870
2020-01-01,阿芙拉型,5,0.1546
2020-01-01,阿芙拉型,10,0.4021
2020-01-01,阿芙拉型,15,0.6289
2020-01-01,苏伊士型,5,0.1382
2020-01-01,苏伊士型,10,0.4146
2020-01-01,苏伊士型,15,0.6260
2020-01-01,VLCC,5,0.1630
2020-01-01,VLCC,10,0.4348
2020-01-01,VLCC,15,0.6087
2020-01-01,巴拿马型,5,0.2697
2020-01-01,巴拿马型,10,0.5506
2020-01-01,巴拿马型,15,0.7191
2020-02-01,巴拿马型,5,0.2697
2020-02-01,巴拿马型,10,0.5337
2020-02-01,巴拿马型,15,0.6910
2020-02-01,阿芙拉型,5,0.1237
2020-02-01,阿芙拉型,10,0.3608
2020-02-01,阿芙拉型,15,0.6289
2020-02-01,苏伊士型,5,0.1382
2020-02-01,苏伊士型,10,0.3902
2020-02-01,苏伊士型,15,0.5772
2020-02-01,VLCC,5,0.1739
2020-02-01,VLCC,10,0.4565
2020-02-01,VLCC,15,0.6196
2020-03-01,阿芙拉型,5,0.1237
2020-03-01,阿芙拉型,10,0.3608
2020-03-01,阿芙拉型,15,0.6289
2020-03-01,苏伊士型,5,0.1382
2020-03-01,苏伊士型,10,0.3902
2020-03-01,苏伊士型,15,0.5772
2020-03-01,VLCC,5,0.1585
2020-03-01,VLCC,10,0.4317
2020-03-01,VLCC,15,0.6175
2020-03-01,巴拿马型,5,0.2697
2020-03-01,巴拿马型,10,0.5337
2020-03-01,巴拿马型,15,0.6910
2020-04-01,阿芙拉型,5,0.1237
2020-04-01,阿芙拉型,10,0.3814
2020-04-01,阿芙拉型,15,0.6495
2020-04-01,苏伊士型,5,0.1240
2020-04-01,苏伊士型,10,0.3802
2020-04-01,苏伊士型,15,0.5702
2020-04-01,VLCC,5,0.1648
2020-04-01,VLCC,10,0.4286
2020-04-01,VLCC,15,0.5879
2020-04-01,巴拿马型,5,0.2697
