mmsi,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port
667001611,0.032918,0.337,0.066094,0.169772,0.0671,2.923039,0.000665,0.003523
620800007,0.033524,0.4346,0.418669,0.025679,0.0337,2.003502,1.7e-05,0.0
613003709,0.033776,0.1265,0.806898,0.847718,1.0462,0.0,7.7e-05,0.0
374987000,0.033813,0.3383,0.143353,0.074463,0.0657,2.743425,0.007012,0.0937
273277060,0.033866,0.3664,0.223977,0.070143,0.0419,4.891298,0.001765,0.024737
518998343,0.034159,0.318,0.815114,0.000367,0.0,0.0,0.000367,0.0
273279660,0.034753,0.3602,0.165267,0.155809,0.1244,3.023513,0.001318,0.008159
570314000,0.035503,0.3695,0.829444,3.4e-05,0.0,0.0,3.4e-05,0.0
667002294,0.036686,0.489,0.597603,0.067311,0.0644,1.26515,7.2e-05,0.0
750064162,0.039241,0.2522,0.883907,0.000131,0.0,0.0,0.000131,0.0
631010071,0.040015,0.396,0.234469,0.333103,0.1043,0.75505,0.000326,0.0
647553032,0.040046,0.6779,0.4306,0.867262,0.3352,1.19178,4e-05,0.0
525121004,0.041166,0.4431,0.252993,0.319941,0.4133,5.533026,4.8e-05,0.0
636025638,0.041627,0.4853,0.281997,0.179132,0.1927,1.649627,0.002867,0.015837
525008061,0.04203,0.3974,0.18616,0.320539,0.2463,4.618021,4.2e-05,0.0
525119203,0.042096,0.4449,0.320285,0.093378,0.095,8.134365,5.9e-05,0.0
613414707,0.043364,0.415,0.392736,0.127064,0.089,2.218558,8.6e-05,0.000414
273271560,0.043684,0.1979,0.867936,0.011375,0.2863,1.842531,6e-05,0.0
352005301,0.043789,0.3197,0.11505,0.052651,0.1104,1.80008,0.001621,0.030318
613445605,0.04402,0.5386,0.319533,0.13756,0.0701,1.531591,0.000144,0.000533
629009508,0.044757,0.3613,0.2475,0.001366,0.0,1.016358,0.001366,0.0
636020082,0.045868,0.4595,0.4935,0.237625,0.7313,1.254952,3.4e-05,0.0
667002021,0.046046,0.4751,0.229274,0.075401,0.0826,3.363573,0.003008,0.039494
613661400,0.046208,0.3803,0.154394,0.137648,0.1105,1.398251,0.004245,0.030596
273273160,0.046333,0.3517,0.049139,0.130366,0.0975,3.09406,6.9e-05,0.0
550167011,0.0472,0.2365,0.874607,3.8e-05,0.0,0.0,3.8e-05,0.0
650000177,0.047364,0.4308,0.583892,0.04044,0.0345,2.424304,3.9e-05,0.0
273271850,0.047654,0.3257,0.128163,0.095037,0.0572,3.44561,0.000206,0.001846
632001096,0.047684,0.505,0.634638,0.466256,0.8405,1.439198,9.5e-05,0.0
613003594,0.047709,0.5694,0.351032,0.063042,0.0005,1.122999,7.1e-05,0.0
255806147,0.048996,0.4867,0.16248,0.051031,0.0744,9.854249,4.2e-05,0.0
775090000,0.049444,0.0619,0.988822,0.000272,0.0,0.809815,0.000272,0.0
461000247,0.049444,0.4073,0.126826,0.043652,0.029,3.238287,3.6e-05,0.0
314001114,0.049521,0.7394,0.458557,3.2e-05,0.0,2.097962,3.2e-05,0.0
667002291,0.049599,0.3735,0.165453,0.046025,0.0835,1.479717,0.002831,0.06085
650000121,0.050079,0.4543,0.295741,0.033361,0.0275,1.008047,0.000134,0.0
352005486,0.050338,0.3302,0.153097,0.092269,0.0937,1.616384,0.002254,0.023979
273251530,0.050386,0.522,0.270211,0.096684,0.0845,2.929777,0.006227,0.064053
273272770,0.050531,0.4596,0.414091,0.162822,0.3091,2.026873,5.6e-05,0.0
314115000,0.050553,0.4142,0.169195,0.10291,0.2221,1.176107,0.000211,0.001768
613271404,0.050594,0.474,0.138571,0.178531,0.1868,2.644657,0.005495,0.030547
538012456,0.050869,0.4632,0.266255,0.207135,0.3041,1.560729,4.5e-05,0.0
461000321,0.051014,0.4902,0.051884,0.196352,0.2436,3.074091,0.001098,0.005147
477215100,0.051029,0.368,0.104897,0.168741,0.1466,4.027941,0.002062,0.012066
632001132,0.051114,0.505,0.482727,0.082827,0.1594,1.888564,8.9e-05,0.0
631010110,0.051209,0.2672,0.141957,0.052543,0.1553,0.975007,0.011531,0.217557
679881009,0.051215,0.5339,0.528762,3.5e-05,0.0,2.483102,3.5e-05,0.0
371458000,0.051438,0.264,0.060389,0.063141,0.1251,1.519547,0.000344,0.005069
273251810,0.051459,0.3923,0.046636,0.077145,0.0659,2.239906,0.002524,0.032183
636014368,0.05249,0.4428,0.216469,0.37512,0.4667,1.179502,3.6e-05,0.0
525119136,0.053942,0.5223,0.478239,0.006016,0.0,2.34961,0.000161,0.0
461000235,0.053987,0.3981,0.093052,0.167758,0.1572,1.419565,0.007522,0.044663
538012620,0.054085,0.4091,0.364973,0.247366,0.0899,1.0038,0.00663,0.025756
650610000,0.054406,0.4087,0.719492,0.088397,0.9396,1.567786,0.000123,0.0
667002260,0.054958,0.4747,0.433216,0.054515,0.1158,1.179637,0.009258,0.168639
273279360,0.055384,0.0974,0.846576,3.8e-05,0.0,0.0,3.8e-05,0.0
273257030,0.056038,0.2587,0.024077,0.113671,0.0555,1.966004,7.5e-05,0.000338
655081771,0.056183,0.5704,0.597995,0.101583,0.1429,2.327058,8.3e-05,0.0
667001672,0.056565,0.4085,0.35621,0.089065,0.1855,1.813875,0.000883,0.008728
631010074,0.056915,0.4615,0.241805,0.138595,0.2733,1.003992,9e-05,0.0
273274460,0.057308,0.636,0.931247,0.000453,0.0,1.294706,0.000453,0.0
667002277,0.057393,0.5184,0.284422,0.189905,0.1473,1.34448,0.000827,0.003935
240565000,0.057494,0.4161,0.08583,0.118243,0.0525,6.890246,3.8e-05,0.0
273272850,0.057549,0.2715,0.089522,0.064767,0.115,2.250557,0.001667,0.025463
314679000,0.057766,0.3239,0.610503,5e-05,0.0,2.267094,5e-05,0.0
613271403,0.058115,0.4482,0.03274,0.026213,0.0659,1.776601,0.000352,0.01238
613881404,0.058474,0.5077,0.187572,0.270627,0.1426,2.073485,0.018315,0.067402
620999912,0.058504,0.5171,0.611822,0.049161,0.0,1.738313,0.000315,0.0
538003617,0.058522,0.4507,0.169195,0.109417,0.0513,1.652966,7.2e-05,0.0
669613000,0.058634,0.4083,0.487,0.046071,0.034,2.223595,2.8e-05,0.0
632001147,0.05886,0.4898,0.093725,0.187322,0.0868,0.461064,0.000428,0.0
631010081,0.059012,0.2094,0.056019,0.0134,0.0,0.865412,8.9e-05,0.0
613411302,0.059201,0.5266,0.274529,0.105747,0.1433,1.88184,0.00363,0.033938
667001270,0.059632,0.3484,0.131547,0.070567,0.141,1.10695,0.008108,0.114537
273254130,0.059929,0.4979,0.283142,0.147525,0.1341,1.683949,0.005989,0.040283
563216300,0.060523,0.421,0.084854,0.085042,0.0524,5.78488,3.8e-05,0.0
667001252,0.060634,0.5013,0.172115,0.215205,0.0974,0.966927,0.006983,0.032276
632001155,0.06165,0.2712,0.091253,0.07188,0.0301,1.137625,0.000181,0.001284
352004997,0.06174,0.4614,0.225932,0.254307,0.2518,1.211925,0.006854,0.026839
463047101,0.061751,0.3768,0.294279,0.140454,0.3504,0.899057,7.6e-05,0.000277
351075000,0.062162,0.6496,0.319837,0.003117,0.0233,2.575339,4.1e-05,0.0
461000237,0.062279,0.4146,0.203414,0.083347,0.1202,0.256008,0.0168,0.201162
750057000,0.062334,0.3844,0.689915,0.062859,0.0,2.575339,0.000937,0.014078
538011124,0.062783,0.5861,0.343048,0.093298,0.0748,32.736939,4.9e-05,0.0
636014923,0.063374,0.3121,0.25569,0.210372,0.125,1.063292,3.8e-05,0.0
